ID	Name	County	State	Lat	Lon	Elevation (feet)
KABE	ALLENTOWN	LEHIGH	PA	40.650	-75.440	376.0
KAOO	ALTOONA	BLAIR	PA	40.290	-78.320	1504.0
KBVI	BEAVER FALLS	BEAVER	PA	40.770	-80.390	1230.0
KBFD	BRADFORD	MCKEAN	PA	41.800	-78.640	2142.0
KBTP	BUTLER	BUTLER	PA	40.770	-79.950	1250.0
KCXY	CAPITAL CITY	YORK	PA	40.220	-76.850	340.0
KFIG	CLEARFIELD	CLEARFIELD	PA	41.040	-78.410	1516.0
KDYL	DOYLESTOWN	BUCKS	PA	40.330	-75.120	394.0
KDUJ	DUBOIS	JEFFERSON	PA	41.180	-78.900	1814.0
KERI	ERIE	ERIE	PA	42.080	-80.170	730.0
KFKL	FRANKLIN	VENANGO	PA	41.370	-79.860	1540.0
KIDI	INDIANA	INDIANA	PA	40.630	-79.100	1400.0
KJST	JOHNSTOWN	CAMBRIA	PA	40.320	-78.830	2280.0
KLNS	LANCASTER	LANCASTER	PA	40.120	-76.290	403.0
KLBE	LATROBE	WESTMORELAND	PA	40.283	-79.400	1190.0
KGKJ	MEADVILLE	CRAWFORD	PA	41.620	-80.210	1400.0
KMDT	MIDDLETOWN	DAUPHIN	PA	40.190	-76.760	312.0
KMPO	MOUNT POCONO	MONROE	PA	41.140	-75.370	1895.0
KMUI	MUIR ARMY AIR FIELD	LEBANON	PA	40.430	-76.570	489.0
KPHL	PHILADELPHIA	PHILADELPHIA	PA	39.870	-75.240	27.0
KPNE	PHILADELPHIA NE	PHILADELPHIA	PA	40.080	-75.020	100.0
KPIT	PITTSBURGH	ALLEGHENY	PA	40.500	-80.230	1150.0
KAGC	PITTSBURGH AGC	ALLEGHENY	PA	40.355	-79.922	1248.0
KPTW	POTTSTOWN	MONTGOMERY	PA	40.240	-75.550	311.0
KUKT	QUAKERTOWN ARP		PA	40.435	-75.381	524.9
KRDG	READING	BERKS	PA	40.370	-75.960	360.0
KAVP	SCRANTON	LUZERNE	PA	41.330	-75.720	956.0
KSEG	SELINSGROVE	SNYDER	PA	40.820	-76.860	444.0
KUNV	UNIVERSITY PARK	CENTRE	PA	40.850	-77.850	1240.0
KAFJ	WASHINGTON	WASHINGTON	PA	40.130	-80.290	1210.0
KIPT	WILLIAMSPORT	LYCOMING	PA	41.240	-76.920	520.0
KLOM	WINGS FIELD APT	MONTGOMERY	PA	40.140	-75.270	302.0
KTHV	YORK	YORK	PA	39.920	-76.870	486.0
K12N	ANDOVER	SUSSEX	NJ	40.020	-74.730	583.0
KACY	ATLANTIC CITY	ATLANTIC	NJ	39.450	-74.570	60.0
KBLM	BELMAR	MONMOUTH	NJ	40.180	-74.130	159.0
KCDW	CALDWELL	ESSEX	NJ	40.880	-74.280	173.0
KNEL	LAKEHURST	OCEAN	NJ	40.030	-74.350	112.0
KWRI	MCGUIRE BASE	BURLINGTON	NJ	40.020	-74.600	148.0
KMIV	MILLVILLE	CUMBERLAND	NJ	39.370	-75.080	70.0
KVAY	MOUNT HOLLY	BURLINGTON	NJ	39.950	-74.850	53.0
KEWR	NEWARK	ESSEX	NJ	40.720	-74.170	7.0
KSMQ	SOMERVILLE	SOMERSET	NJ	40.620	-74.670	105.0
KFWN	SUSSEX	SUSSEX	NJ	41.200	-74.620	421.0
KTEB	TETERBORO	BERGEN	NJ	40.850	-74.070	9.0
KTTN	TRENTON	MERCER	NJ	40.280	-74.820	213.0
